width,draw,n_features,pr_auc,best_iteration,delta
3,0,346,0.5243464121077279,436,-0.0038571899064125947
3,1,346,0.5241868647186941,804,-0.004016737295446382
3,2,346,0.524069768458613,373,-0.004133833555527544
3,3,346,0.5273580363316265,284,-0.0008455656825140379
3,4,346,0.5301238657103093,370,0.0019202636961688224
3,5,346,0.5214749430489758,240,-0.006728658965164724
3,6,346,0.5223052314073505,444,-0.005898370606789993
3,7,346,0.5277946274075682,521,-0.0004089746065722988
3,8,346,0.522790618252435,177,-0.005412983761705514
3,9,346,0.5274452636529621,333,-0.0007583383611784456
4,0,345,0.5441823479959192,784,0.01597874598177873
4,1,345,0.5202735196089752,354,-0.00793008240516535
4,2,345,0.5288668404498804,532,0.000663238435739899
4,3,345,0.533787522661829,586,0.005583920647688534
4,4,345,0.5236883937141887,232,-0.004515208299951778
4,5,345,0.5315464401248122,474,0.0033428381106717087
4,6,345,0.5310261375748399,597,0.002822535560699335
4,7,345,0.5218148604021218,353,-0.006388741612018745
4,8,345,0.5237833339395747,161,-0.0044202680745658585
4,9,345,0.5213888317757187,464,-0.006814770238421808
6,0,343,0.5275509749630721,213,-0.0006526270510683885
6,1,343,0.5250907336865458,350,-0.00311286832759472
6,2,343,0.518168908825265,430,-0.01003469318887551
6,3,343,0.5110226231674749,142,-0.017180978846665584
6,4,343,0.5238206312302195,356,-0.004382970783921025
6,5,343,0.5318766107477196,191,0.0036730087335791195
6,6,343,0.5358827456497535,349,0.0076791436356129505
6,7,343,0.5324281166835602,491,0.004224514669419643
6,8,343,0.5222641413635649,472,-0.005939460650575601
6,9,343,0.532278868436357,272,0.00407526642221645
7,0,342,0.5277549307671295,335,-0.0004486712470109788
7,1,342,0.5368823518850603,513,0.008678749870919766
7,2,342,0.5167027500473172,170,-0.011500851966823267
7,3,342,0.5257401749228398,238,-0.0024634270913007628
7,4,342,0.5226850246496114,322,-0.005518577364529098
7,5,342,0.5414379526996719,1213,0.01323435068553136
7,6,342,0.5322263930996495,379,0.004022791085508959
7,7,342,0.5275808112915064,302,-0.0006227907226341589
7,8,342,0.5231141640062097,517,-0.005089438007930824
7,9,342,0.5261300290745288,338,-0.0020735729396117453
234,0,115,0.4955120361953031,242,-0.03269156581883742
234,1,115,0.4940007065352068,236,-0.03420289547893374
234,2,115,0.48661989620623713,215,-0.04158370580790338
234,3,115,0.48727488797052393,254,-0.04092871404361659
234,4,115,0.4926440620596211,518,-0.03555953995451944
234,5,115,0.47551712903025084,278,-0.052686472983889676
234,6,115,0.5074020813059011,622,-0.020801520708239374
234,7,115,0.5085423621930595,358,-0.019661239821081034
234,8,115,0.4608232963852895,500,-0.067380305628851
234,9,115,0.49661791838776825,384,-0.03158568362637226
