seed,n_columns,pr_auc,delta
0,1,0.3260204033887403,0.004334280750955488
1,1,0.32322163482289956,0.0015355121851147735
2,1,0.32335605153792496,0.0016699289001401718
3,1,0.32229706917937756,0.0006109465415927717
4,1,0.32261340099380675,0.0009272783560219655
5,1,0.3202572324923824,-0.0014288901454023728
6,1,0.3229690568166036,0.0012829341788188064
7,1,0.32443980242707543,0.0027536797892906417
8,1,0.32228432263767565,0.0005981999998908583
9,1,0.3212340446858811,-0.0004520779519036622
10,1,0.3207699933290549,-0.0009161293087298628
11,1,0.32134192127503536,-0.00034420136274943003
12,1,0.3224057186462627,0.0007195960084779296
13,1,0.32280678611188324,0.001120663474098449
14,1,0.3243815330183059,0.002695410380521124
15,1,0.32090330676956874,-0.0007828158682160469
16,1,0.3213773574311058,-0.0003087652066789959
17,1,0.3238630833841255,0.002176960746340717
18,1,0.3234446318385412,0.0017585092007564307
19,1,0.322580785635844,0.0008946629980592369
