point,seed,pr_auc,best_iteration
untuned,0,0.5155762429915699,133
untuned,1,0.5155762429915699,133
untuned,2,0.5155762429915699,133
untuned,3,0.5155762429915699,133
untuned,4,0.5155762429915699,133
untuned,5,0.5155762429915699,133
untuned,6,0.5155762429915699,133
untuned,7,0.5155762429915699,133
untuned,8,0.5155762429915699,133
untuned,9,0.5155762429915699,133
subsampled,0,0.5349659095125648,400
subsampled,1,0.5196331390526051,346
subsampled,2,0.5249772373033423,463
subsampled,3,0.5393973582949886,185
subsampled,4,0.5403979058057137,606
subsampled,5,0.5247782547239186,407
subsampled,6,0.525895054170026,270
subsampled,7,0.5375015791291984,296
subsampled,8,0.5171789298151668,164
subsampled,9,0.5293831285621868,348
aggressive,0,0.556550837240179,947
aggressive,1,0.5645416385268419,1601
aggressive,2,0.5397502609178819,565
aggressive,3,0.5603665671084247,1025
aggressive,4,0.5677311200210907,1564
aggressive,5,0.5704521768970726,1817
aggressive,6,0.5608943062767514,667
aggressive,7,0.5482033034542716,657
aggressive,8,0.5548967476851299,596
aggressive,9,0.5607148391650453,1027
